File Name,Random,Dataset,Have Chili,Have Cucumber,Have Tomato,Have Lettuce,Have Basil,Have Healthy
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100816.jpg,0.255637524,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100819.jpg,0.755961222,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100821.jpg,0.375968219,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100825.jpg,0.801363044,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100826.jpg,0.339326566,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100827.jpg,0.570848955,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100832.jpg,0.791550011,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100834.jpg,0.018103758,Train,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100836.jpg,0.330358187,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100841.jpg,0.398191689,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100842.jpg,0.29486356,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100843.jpg,0.919156825,Others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dataset\Basil Dataset\Basil\genovese\grownup\healthy\GW20210721_s/20210721_100849.jpg,0.069208945,Train,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
